,TITLE,SINGER,LYRIC
66,Cozy Little Christmas,Katy Perry,Everybody's in a hurry in a flurry Shopping 'til they're droppin' in the snow Kids are cryin' dogs are barkin' Catching up with folks we barely know Sure it's madness but it's magic As soon as you hang up the mistletoe 'Cause you're the reason for the season No we don't need to keep up with the Jones Our love is something priceless I don't need diamonds no sparkly things No oh oh oh oh 'Cause you can't buy this a-feeling No oh oh oh oh Nothing lights my fire or wraps me up baby like you do Just want a cozy a cozy little Christmas here with you So Mr. Santa Mr. Santa Take the day off Take the day off Get a massage Get a massage 'Cause we've got this one all under control A little whiskey A little whiskey We're getting frisky Ooh And slow dancing to Nat King Cole No we ain't stressin' We ain't stressin' Just caressin' Mm-hmm Warming up our popsicle toes Nothing's missin' Nothing's missin' 'Cause you're a blessin' 'Cause you're the blessin' Yes you're the only one I'm wishing for Our love is something priceless I don't need diamonds no sparkly things No oh oh oh oh 'Cause you can't buy this a-feeling No oh oh oh oh Nothing lights my fire or wraps me up baby like you do Just want a cozy a cozy little Christmas here with you I don't need anything Take back all the Cartier and the Tiffany's and the Chanel Well can I keep that Chanel Please No no no no I don't need diamonds no sparkly things No oh oh oh oh 'Cause you can't buy this a-feeling No oh oh oh oh Nothing lights my fire or wraps me up baby like you do Just want a cozy a cozy little Christmas here with you Fa la la la la la la la la la la la la la la la la la Just you and me under a tree Fa la la la la la la la la la la la la la la la la la A cozy little Christmas here with you
67,Like 1999,Valley,Woke up it's 2021 I wanna get texts but I never wanna text back Fuck man I'm 2020 done Another paycheck and I blew it but I'm still sad We talk all of the time But it still feels like I'm just a voice on the line so If you wanna come over watch Friends and then get high Use my phone as a coaster we'll travel back in time Lights on the ceiling we're more than a feeling If you wanna come over act like it's 1999 Woke up had a dream about You We were parked in a Pontiac making out no internet Ten things I hate about you honestly nothing We talk all of the time and I love it So what are you doing tonight If you wanna come over watch Friends and then get high Use my phone as a coaster we'll travel back in time Lights on the ceiling we're more than a feeling If you wanna come over act like it's 1999-9-9-9 One sec' Do you mind if I'm nostalgic Let's go back before 2000 Back before our love was so distracted I wish that Y2K had happened we would stay forever classic You and I both be trapped in in 1999 We talk all of the time and I love it So what are you doing tonight If you wanna come over watch Friends and then get high Use my phone as a coaster we'll travel back in time Lights on the ceiling we're more than a feeling If you wanna come over act like it's 1999 If you wanna come over act like it's 1999
68,Have Yourself A Merry Little Christmas,Sam Smith,Have yourself a merry little Christmas Let your heart be light From now on your troubles will be out of sight yeah Have yourself a merry little Christmas Make the Yuletide gay From now on your troubles will be miles away oh Here we are as in olden days Happy golden days of yore ah Faithful friends who are dear to us They gather near to us once more ooh Through the years we all will be together and If the fates allow Hang a shining star upon the highest bough oh yeah oh And have yourself a merry little Christmas have yourself a merry little Christmas have yourself a merry little Christmas
69,Ashes,Stellar,Now that I got a taste I think that I'd suffocate For every second that you aren't by my side But now I'm stuck at the gate Of Lucifer's estate I fell in love with a girl I met in hell Thinkin' about all the things The way you pull my strings I love the way you turn me on I ain't Hades but I'm the King I'd do anything So that I could take you home She drove me drove me crazy a-yeah-ah She drove me drove me crazy a-yeah-ah She drove me drove me crazy a-yeah-ah She drove me drove me crazy a-yeah-ah Ring around the Rosie Pocket full of posie I'ma fucking blow all the ashes down Ring around the Rosie Pocket full of posie Imma fucking go crazy for ya now Ring around the Rosie Pocket full of posie I'ma fucking blow all the ashes down Ring around the Rosie Pocket full of posie I'ma fucking go crazy for ya now Now that I got a taste I'm gonna hallucinate I think that I am trippin' off your love I started playing your games You got me in a checkmate Now you are the queen and I'm the pawn Thinking about all the things The way you pull my strings I love the way you turn me on You're the Queen so let me be ya King I'd do anything So that we could rule the world She drove me drove me crazy a-yeah-ah She drove me drove me crazy a-yeah-ah She drove me drove me crazy a-yeah-ah She drove me drove me crazy a-yeah-ah Ring around the Rosie Pocket full of posie Imma fucking blow all the ashes down Ring around the Rosie Pocket full of posie I'ma fucking go crazy for ya now Ring around the Rosie Pocket full of posie Imma fucking blow all the ashes down Ring around the rosie Pocket full of posie Imma fucking go crazy for ya now Go crazy for ya now Blow all the ashes down
70,I'm Not The Only One,Sam Smith,You and me we made a vow For better or for worse I can't believe you let me down But the proof is in the way it hurts For months on end I've had my doubts Denying every tear I wish this would be over now But I know that I still need you here You say I'm crazy Cause you don't think I know what you've done But when you call me baby I know I'm not the only one You've been so unfaithful Now sadly I know why Your heart is unobtainable Even though lord knows you have mine You say I'm crazy Cause you don't think I know what you've done But when you call me baby I know I'm not the only one I have loved you for many years Maybe I am just not enough You've made me realise my deepest fear By lying and tearing us up You say I'm crazy Cause you don't think I know what you've done But when you call me baby I know I'm not the only one You say I'm crazy Cause you don't think I know what you've done But when you call me baby I know I'm not the only one I know I'm not the only one I know I'm not the only one And I know I know I'm not the only one
71,Warm on a Christmas Night,HONNE,Like a reindeer in headlights They're stunned by all your charm And I feel so damn lucky To have you on my arm Oh and I can't help but wonder Just how we ended up alright And I love you like no other This has never felt so right Oh you can keep me warm on a cold night Warm on a Christmas night Yeah you can keep me warm on a cold night Warm on a Christmas night I wanna treat you something special Give you what you deserve I wanna take you to paradise In a 1950s Merc Oh and I can't help but wonder Just how we ended up alright And I love you like no other But this has never felt so right You can keep me warm on a cold night Warm on a Christmas night Yeah you can keep me warm on a cold night Warm on a Christmas night Oh yeah you can keep me warm You can keep me real warm There's just one thing Girl you could have anyone So why you choosing me and not leaving me on my own Girl you could be with anyone So thanks for making me your number one You can keep me warm on a cold night Warm on a Christmas night Yeah you can keep me warm on a cold night Warm on a Christmas night Yeah wrap me up and keep me warm on a cold night Warm on a Christmas night Oh yeah you can keep me warm on a cold night Warm on a Christmas night Merry Christmas everybody
72,Sugar,Maroon 5,I'm hurting baby I'm broken down I need your loving loving I need it now When I'm without you I'm something weak You got me begging begging I'm on my knees I don't wanna be needing your love I just wanna be deep in your love And it's killing me when you're away Ooh baby cause a bullet don't care where you are I just wanna be there where you are And I gotta get one little taste Sugar Yes please Won't you come and put it down on me Oh right here cause I need Little love and little sympathy Yeah you show me good loving Make it alright Need a little a sweetness in my life Sugar Yes please Won't you come and put it down on me My broken pieces You put them up Don't leave me hanging hanging Come get me some When I'm without ya I'm so insecure You are the one thing one thing I'm living for I don't wanna be needing your love I just wanna be deep in your love And it's killing me when you're away Ooh baby cause a bullet don't care where you are I just wanna be there where you are And I gotta get one little taste Sugar Yes please Won't you come and put it down on me Oh right here cause I need Little love and little sympathy Yeah you show me good loving Make it alright Need a little a sweetness in my life Sugar Yes please Won't you come and put it down on me Yeah I want that red velvet I want that sugar sweet Don't let nobody touch it Unless that somebody is me I gotta be a man There ain't no other way Cause girl you're hotter than southern california bae I don't wanna play no games I don't gotta be afraid Don't give all that shy shit No make up on That's my Sugar Yes please Won't you come and put it down on me Oh right here cause I need Little love and little sympathy Yeah you show me good loving Make it alright Need a little a sweetness in my life Sugar Yes please Won't you come and put it down on me Sugar Yes please Won't you come and put it down on me Oh right here cause I need Little love and little sympathy Yeah you show me good loving Make it alright Need a little a sweetness in my life Sugar Yes please Won't you come and put it down on me
73,One Call Away,Charlie Puth,I'm only one call away I'll be there to save the day Superman got nothing on me I'm only one call away Call me baby if you need a friend I just wanna give you love C'mon c'mon c'mon Reaching out to you so take a chance No matter where you go You know you're not alone I'm only one call away I'll be there to save the day Superman got nothing on me I'm only one call away Come along with me and don't be scared I just wanna set you free C'mon c'mon c'mon You and me can make it anywhere For now we can stay here for a while Cause you know I just wanna see you smile No matter where you go You know you're not alone I'm only one call away I'll be there to save the day Superman got nothing on me I'm only one call away And when you're weak I'll be strong I'm gonna keep holding on Now don't you worry it won't be long Darling and when you feel like hope is gone Just run into my arms I'm only one call away I'll be there to save the day Superman got nothing on me I'm only one I'm only one call away I'll be there to save the day Superman got nothing on me I'm only one call away I'm only one call away
74,comethru,Jeremy Zucker,I might lose my mind Waking when the sun's down Riding all these highs Waiting for the comedown Walk these streets with me I'm doing decently Just glad that I can breathe yeah I'm trying to realize It's alright to not be fine On your own Now I'm shaking drinking all this coffee These last few weeks have been exhausting I'm lost in my imagination And there's one thing that I need from you Can you come through And there's one thing that I need from you Can you come through Ain't got much to do Too old for my hometown Went to bed at noon Couldn't put my phone down Scrolling patiently It's all the same to me Just faces on a screen yeah I'm trying to realize It's alright to not be fine On your own Now I'm shaking drinking all this coffee These last few weeks have been exhausting I'm lost in my imagination And there's one thing that I need from you Can you come through And there's one thing that I need from you Can you come through And there's one thing that I need from you Can you come through
75,Beautiful Mistakes,"Maroon 5, Megan Thee Stallion",It's beautiful it's bittersweet You're like a broken home to me I take a shot of memories And black out like an empty street I fill my days with the way you walk And fill my nights with broken dreams I make up lies inside my head Like one day you'll come back to me Now I'm not holding on not holding on I'm just depressed that you're gone Not holding on not holding on Beautiful mistakes I make inside my head She's naked in my bed And now we lie awake makin' beautiful mistakes I wouldn't take 'еm back I'm in love with the past And now we liе awake makin' beautiful mistakes Nah-nah-nah in my head Nah-nah-nah in my bed Nah-nah-nah eh Makin' beautiful mistakes It's pitiful I can't believe How every day gets worse for me I take a break I cut you off To keep myself from lookin' soft I fill my nights with the way you was And still wake up with broken dreams I make these lies inside my head Feel like they're my reality Now I'm not holding on not holding on I'm just depressed that you're gone Not holding on not holding on Beautiful mistakes I make inside my head she's naked in my bed And now we lie awake makin' beautiful mistakes I wouldn't take 'em back I'm in love with the past And now we lie awake makin' beautiful mistakes Nah-nah-nah in my head Nah-nah-nah in my bed Nah-nah-nah eh Makin' beautiful mistakes You did me wrong 'cause I let you Let you Usually I like my situations beneficial Doin' something different got me lookin' stupid Damn The only way I'm comin' back to you is if you're dreaming lucid Hmm Prove it if you made a promise then keep it Keep it Why you wanna lie and then get mad I don't believe it Boy bye But really I was doin' just fine without ya Lookin' fine sippin' wine dancin' on club couches Ah Baby why you wanna lose me like you don't need me Don't need me Like I don't block you and you still try to reach me How you figure out how to call me from the TV Huh You're runnin' outta chances and this time I mean it Ah Yeah bet you miss my love all in your bed Bed Now you're stressin' out pulling your hair Hair Smelling your pillows and wishin' I was there I was there Slidin' down the shower wall lookin' sad Sad I know it's hard to let go I'm the best I'm the best Best you ever had and best you gon' get Gon' get And if we break up I don't wanna be friends Be friends You're toxic Beautiful mistakes I make inside my head she's naked in my bed And now we lie awake makin' beautiful mistakes I wouldn't take 'em back I'm in love with the past And now we lie awake makin' beautiful mistakes Nah-nah-nah in my head Nah-nah-nah in my bed Nah-nah-nah yeah yeah Oh Makin' beautiful mistakes Nah-nah-nah in my head Nah-nah-nah in my bed Nah-nah-nah eh Makin' beautiful mistakes Nah-nah-nah Nah-nah-nah Ooh Nah-nah-nah
76,Count on Christmas,Bebe Rexha,There's something stirring Something crackling like the firewood A certain spirit that has lightened up the neighborhood I think it's time for the timeless time of the year Time of the year You're bundled up Got a blizzard coming on the way The family fighting like they do 'Cause it's the holidays And every memory you're holding in your heart is alive once more right here Feels like you're a kid again Making you remember When life was good Just watching the snow fall down Doesn't matter if the year's got you feeling down Just remember in December what is coming 'round And you'll find the feeling that you always found You can count on Christmas count on Christmas Coming back home to the old address Something burning in the kitchen with the house a mess And this year is promising nothing less You can count on Christmas count on Christmas Yeah yeah yeah woah Yeah yeah yeah woah Yeah yeah yeah yeah yeah Count on Christmas count on Christmas We got a Christmas song Sing-a-long around the tree Keep the eggnog flowing til we're all tipsy There's another movie marathon on TV Which one could it be But with all of the presents all of the gifts It's really about who you're sharing them with And just for Christmas Eve The world's the way it used to be Doesn't matter if the year's got you feeling down Just remember in December what is coming 'round And you'll find the feeling that you always found You can count on Christmas count on Christmas Waiting up and then you hear the jingle bells ring Santa Clause is comin' what's he gonna bring There's a little bit of magic to everything You can count on Christmas count on Christmas Yeah yeah yeah woah Yeah yeah yeah woah Yeah yeah yeah yeah yeah Count on Christmas count on Christmas Yeah yeah yeah woah Yeah yeah yeah woah Yeah yeah yeah yeah yeah Count on Christmas count on Christmas Doesn't matter if the year's got you feeling down Just remember in December what is coming 'round And you'll find the feeling that you always found You can count on Christmas count on Christmas Yeah yeah yeah woah Yeah yeah yeah woah Yeah yeah yeah yeah yeah You can count on Christmas count on Christmas
77,To Die For,Sam Smith,It is if everyone dies alone Does that scare you I don't wanna be alone I look for you Everyday everynight I close my eyes From the fear from the light As I wander down the avenue so confused Guess I'll try to force a smile Pink lemonade sippin' on a Sunday Couples holding hands on a runway They're all posing in a picture frame Whilst my world's crashing down Solo shadow on the sidewalk Just want somebody to die for Sunshine livin' on a perfect day While my world's crashing down I just want somebody to die for I long for you Just the touch Does that scare you Of your hand You don't leave my mind Lonely days I'm feeling like a fool for dreaming As I wander down the avenue so confused Guess I'll try to force a smile Pink lemonade sippin' on a Sunday Couples holding hands on a runway They're all posing in a picture frame Whilst my world's crashing down Solo shadow on the sidewalk Just want somebody to die for Sunshine livin' on a perfect day While my world's crashing down I just want somebody to die for I just want somebody to die for To die for I just want somebody to die for Does that scare you I don't wanna be alone Pink lemonade sippin' on a Sunday Couples holding hands on a runway They're all posing in a picture frame Whilst my world's crashing down Solo shadow on the sidewalk Just want somebody to die for Sunshine livin' on a perfect day While my world's crashing down I just want somebody to die for
78,See You Again,"Charlie Puth, Wiz Khalifa",It's been a long day without you my friend And I'll tell you all about it when I see you again We've come a long way from where we began Oh I'll tell you all about it when I see you again When I see you again Damn who knew All the planes we flew Good things we been through That I'd be standing right here talking to you Bout another path I know we loved to hit the road and laugh But something told me that it wouldn't last Had to switch up look at things different see the bigger picture Those were the days Hard work forever pays Now I see you in a better place How could we not talk about family when family's all that we got Everything I went through you were standing there by my side And now you gone be with me for the last ride It's been a long day without you my friend And I'll tell you all about it when I see you again We've come a long way from where we began Oh I'll tell you all about it when I see you again When I see you again First you both go out your way And the vibe is feeling strong And what's small turned to a friendship A friendship turned to a bond And that bond will never be broken The love will never get lost And when brotherhood come first Then the line will never be crossed Established it on our own When that line had to be drawn And that line is what we reached So remember me when i'm gone How could we not talk about family when family's all that we got Everything I went through you were standing there by my side And now you gone be with me for the last ride So let the light guide your way yea Hold every memory as you go And every road you take Will always lead you home Hoooooome It's been a long day without you my friend And I'll tell you all about it when I see you again We've come a long way from where we began Oh I'll tell you all about it when I see you again When I see you again
79,Leave Before You Love Me,"Marshmello, Jonas Brothers",I see you calling I didn't wanna leave you like that It's five in the morning yeah yeah A hundred on the dash 'Cause my wheels are rolling Ain't taking my foot off the gas And it only took the one night To see the end of the line Staring deep in your eyes eyes Dancing on the edge 'bout to take it too far It's messing with my head how I mess with your heart If you wake up in your bed alone in the dark I'm sorry gotta leave before you love me Ayy ayy leave before you love me Ayy ayy leave before you love me Ayy ayy leave before you love me Ayy ayy leave before you love me I'm so good at knowing Of when to leave the party behind Don't care if they notice yeah yeah no I'll just catch a ride I'd rather be lonely yeah Than wrapped around your body too tight Yeah I'm the type to get naked Won't give my heart up for breaking 'Cause too gone to be staying staying Dancing on Dancing on the edge 'bout to take it too far It's messing with my head how I mess with your heart If you wake up in your bed alone in the dark I'm sorry gotta leave before you love me Ayy ayy leave before you love me Ayy ayy leave before you love me Ayy ayy leave before you love me Ayy ayy leave before you love me Dancing on the edge take it too far Messing with my head how I mess with your heart I'm sorry alone in the dark I'm sorry ayy ayy leave before you love me
80,7 Years,Lukas Graham,Once I was seven years old my momma told me Go make yourself some friends or you'll be lonely Once I was seven years old It was a big big world but we thought we were bigger Pushing each other to the limits we were learning quicker By eleven smoking herb and drinking burning liquor Never rich so we were out to make that steady figure Once I was eleven years old my daddy told me Go get yourself a wife or you'll be lonely Once I was eleven years old I always had that dream like my daddy before me So I started writing songs I started writing stories Something about the glory just always seemed to bore me Cause only those I really love will ever really know me Once I was 20 years old my story got told Before the morning sun when life was lonely Once I was 20 years old Lukas Graham I only see my goals I don't believe in failure Cause I know the smallest voices they can make it major I got my boys with me at least those in favor And if we don't meet before I leave I hope I'll see you later Once I was 20 years old my story got told I was writing about everything I saw before me Once I was 20 years old Soon we'll be 30 years old our songs have been sold We've traveled around the world and we're still rolling Soon we'll be 30 years old I'm still learning about life My woman brought children for me So I can sing them all my songs And I can tell them stories Most of my boys are with me Some are still out seeking glory And some I had to leave behind My brother I'm still sorry Soon I'll be 60 years old my daddy got 61 Remember life and then your life becomes a better one I made the man so happy when I wrote a letter once I hope my children come and visit once or twice a month Soon I'll be 60 years old will I think the world is cold Or will I have a lot of children who can warm me Soon I'll be 60 years old Soon I'll be 60 years old will I think the world is cold Or will I have a lot of children who can warm me Soon I'll be 60 years old Once I was seven years old my momma told me Go make yourself some friends or you'll be lonely Once I was seven years old Once I was seven years old
81,Think of Christmas,Anne-Marie,When I think of Christmas I think of you Remember the snow angels Unorthodox antidotes About how it's never home Unless you're here Don't matter how deep the snow Don't matter how cold it goes I've already made it home Because you're here Still at the kids table even tho we're grown Hands on my knee cap underneath the table We got a secret only you and me know But they know cus A Love like ours comes with the brightest of halos Yeah they know that When I think of Christmas I think of You and me in a classic kiss Modern love is what is it is When I think of Christmas I think of Nothing but nothing to do Unwrap myself in front of you When I think of Christmas I think of you I think of you Rewriting my memories Creating new history The season feels new to me Because you're here Still at the kids table even tho we're grown Hands on my knee cap underneath the table We got a secret only you and me know But they know cus A Love like ours comes with the brightest of halos Yeah they know that When I think of Christmas I think of You and me in a classic kiss Modern love is what is it is When I think of Christmas I think of Nothing but nothing to do Unwrap myself in front of you When I think of Christmas I think of You I think of You I think of You When I think of Christmas I think of You
82,Circles,Post Malone,Oh oh oh Oh oh oh Oh oh oh oh oh We couldn't turn around 'til we were upside down I'll be the bad guy now but know I ain't too proud I couldn't be there even when I tried You don't believe it we do this every time Seasons change and our love went cold Feed the flame 'cause we can't let go Run away but we're running in circles Run away run away I dare you to do something I'm waiting on you again so I don't take the blame Run away but we're running in circles Run away run away run away Let go I got a feeling that it's time to let go I said so I knew that this was doomed from the get-go You thought that it was special special But it was just the sex though the sex though And I still hear the echoes The echoes I got a feeling that it's time to let it go let it go Seasons change and our love went cold Feed the flame 'cause we can't let go Run away but we're running in circles Run away run away I dare you to do something I'm waiting on you again so I don't take the blame Run away but we're running in circles Run away run away run away Maybe you don't understand what I'm going through It's only me what you got to lose Make up your mind tell me what are you gonna do It's only me let it go Seasons change and our love went cold Feed the flame 'cause we can't let go Run away but we're running in circles Run away run away I dare you to do something I'm waiting on you again so I don't take the blame Run away but we're running in circles Run away run away run away
83,You Make It Feel Like Christmas (Feat. Blake Shelton),Gwen Stefani,I want to thank the storm that brought the snow Thanks to the string of lights that make it glow But I wanna thank you baby You make it feel like Christmas It barely took a breath to realize We're gonna be a classic for all time I wanna thank you baby You make it feel like Christmas Sweet gingerbread made with molasses My heart skipped and I reacted Can't believe that this is happening Like a present sent from God Sleigh bells singing hallelujah Stars are shining on us too I wanna thank you baby You make it feel like Christmas Thought I was done for thought that love had died But you came along I swear you saved my life And I wanna thank you baby You make it feel like Christmas Sweet gingerbread made with molasses My heart skipped and I reacted Can't believe that this is happening Like a present sent from God Sleigh bells singing hallelujah Stars are shining on us too I wanna thank you baby You make it feel like Christmas I never thought I'd find a love like this But I found forever in that very first kiss I wanna thank you baby You make it feel like Christmas Oh oh Thank you baby I wanna thank you baby You make it feel like Christmas
84,Bad Boy,"청하, Christopher",I'm not trying to be dramatic But I need someone who can take a little heat You wanted thunder now you have it I want a boyfriend who can handle all of me It feels like Yesterday Yesterday Yesterday We were making out and reaching for the stars But Not today Not today Not today 'Cause you Now you say you wanna Bad boy All the good girls think they need a Bad boy And all this time I’ve tried not to be a Bad boy What they really do shit I'm not good at being cool When it comes to you When it comes to you When it comes to you When it comes to you First you’re running me over Then you like why you making a scene Are you gonna blame this on me Don't be acting all sweet to get to my head and then just go mean Look what you’re doing to me It feels like yesterday Yesterday Yesterday We were making out and reaching for the stars But not today Not today Not today 'Cause you Now I say I wanna Bad boy All the good girls think they need a Bad boy And all this time I’ve tried not to be a Bad boy What they really do shit I'm not good at being cool When it comes to you When it comes to you When it comes to you When it comes to you I cried my eyes out expecting reply You send me snapchats with some other guy I'm done with heartaches done wastin my time on you Now you say you wanna Bad boy All the good girls think they need a Bad boy And All this time I've tried not to be a Bad boy What they really do shit I'm not good at being cool When it comes to you When it comes to you When it comes to you When it comes to you
85,Lovers On The Moon,AJ Mitchell,Ooh baby baby The way you shinin' lately Is brighter than the stars in the sky Elevated Is it too soon to say that I'm yours if you're along for the ride I feel so high in this place In your eyes I've been floatin' Feels just like outer space No one else just me and you I wanna love you 'til your feet don't touch the ground I wanna know you where the air don't make a sound I feel so high when I'm with you ooh We could be lovers on the moon I never knew that I could feel like this oh no I never knew until my heart crashed into yours I feel so high when I'm with you ooh We could be lovers on the moon We could be lovers on the moon So high Ooh baby baby The way that you've been tastin' I can eat it up all night And when it's over if I lose my composure It's only 'cause you're blowin' my mind I feel so high in this place Feel just like I've been floatin' in your eyes Outer space No one else just me and you I wanna love you 'til your feet don't touch the ground I wanna know you where the air don't make a sound I feel so high when I'm with you ooh We could be lovers on the moon I never knew that I could feel like this oh no I never knew until my heart crashed into yours I feel so high when I'm with you ooh We could be lovers on the moon We could be lovers on the moon So high We could be lovers on the moon So high Ooh la-la la-la la-la la-la la-la I la-la-la like it Ooh la-la la-la la-la la-la la-la I la-la-la like it I wanna love you 'til your feet don't touch the ground I wanna know you where the air don't make a sound I feel so high when I'm with you ooh We could be lovers on the moon We could be lovers on the moon So high We could be lovers on the moon So high
86,Attention,Charlie Puth,You've been runnin' round runnin' round runnin' round throwin' that dirt all on my name 'Cause you knew that I knew that I knew that I'd call you up You've been going round going round going round every party in LA 'Cause you knew that I knew that I knew that I'd be at one I know that dress is karma perfume regret You got me thinking 'bout when you were mine And now I'm all up on ya what you expect But you're not coming home with me tonight You just want attention You don't want my heart Maybe you just hate the thought of me with someone new Yeah you just want attention I knew from the start You're just making sure I'm never gettin' over you You've been runnin' round runnin' round runnin' round throwing that dirt all on my name 'Cause you knew that I knew that I knew that I'd call you up Baby now that we're now that we're now that we're right here standing face to face You already know already know already know that you won Ohh I know that dress is karma dress is karma perfume regret You got me thinking 'bout when you were mine you got me thinking 'bout when you were mine And now I'm all up on ya all up on ya what you expect oh baby But you're not coming home with me tonight oh no You just want attention You don't want my heart Maybe you just hate the thought of me with someone new Yeah you just want attention I knew from the start You're just making sure I'm never gettin' over you Ohh What are you doin' to me What are you doin' huh What are you doin' What are you doin' to me What are you doin' huh What are you doin' What are you doin' to me What are you doin' huh What are you doin' What are you doin' to me What are you doin' huh I know that dress is karma perfume regret You got me thinking 'bout when you were mine And now I'm all up on ya what you expect But you're not coming home with me tonight You just want attention You don't want my heart Maybe you just hate the thought of me with someone new Yeah you just want attention I knew from the start You're just making sure I'm never gettin' over you over you What are you doin' to me heyy What are you doin' huh What are you doin' what What are you doin' to me What are you doin' huh Yeah you just want attention What are you doin' to me I knew from the start What are you doin' huh You're just making sure I'm never gettin' over you What are you doin' huh
87,Lost Stars,Adam Levine,Please don't see just a boy caught up in dreams and fantasies Please see me reaching out for someone I can't see Take my hand let's see where we wake up tomorrow Best laid plans sometimes are just a one night stand I'd be damned Cupid's demanding back his arrow So let's get drunk on our tears and God tell us the reason youth is wasted on the young It's hunting season and this lamb is on the run Searching for meaning But are we all lost stars trying to light up the dark Who are we Just a speck of dust within the galaxy Woe is me if we're not careful turns into reality Don't you dare let all these memories bring you sorrow Yesterday I saw a lion kiss a deer Turn the page Maybe we'll find a brand new ending Where we're dancing in our tears and God tell us the reason youth is wasted on the young It's hunting season and this lamb is on the run searching for meaning But are we all lost stars trying to light up the dark I thought I saw you out there crying I thought I heard you call my name I thought I heard you out there crying We're just the same God give us the reason youth is wasted on the young It's hunting season and this lamb is on the run We're searching for meaning But are we all lost stars trying to light up the dark I thought I saw you out there crying I thought I heard you call my name I thought I heard you out there crying But are we all lost stars trying to light up the dark Are we all lost stars trying to light up the dark
88,"thank u, next",Ariana Grande,Thought I'd end up with Sean But he wasn't a match Wrote some songs about Ricky Now I listen and laugh Even almost got married And for Pete I'm so thankful Wish I could say Thank you to Malcolm 'Cause he was an angel One taught me love One taught me patience And one taught me pain Now I'm so amazing I've loved and I've lost But that's not what I see So look what I got Look what you taught me And for that I say Thank you next Next Thank you next Next Thank you next I'm so fuckin' grateful for my ex Thank you next Next Thank you next Next Thank you next Next I'm so fuckin' Spend more time with my friends I ain't worried 'bout nothin' Plus I met someone else We havin' better discussions I know they say I move on too fast But this one gon' last 'Cause her name is Ari And I'm so good with that So good with that She taught me love Love She taught me patience Patience And she handles pain Pain That shit's amazing Yeah she's amazing I've loved and I've lost Yeah yeah But that's not what I see Yeah yeah Just look what I've found Yeah yeah Ain't no need for searching and for that I say Thank you next Thank you next Thank you next Thank you next Thank you next Thank you I'm so fuckin' grateful for my ex Thank you next Thank you next Thank you next Said thank you next Thank you next Next I'm so fuckin' grateful for my ex Thank you next Thank you next Thank you next I'm so fucking One day I'll walk down the aisle Holding hands with my mama I'll be thanking my dad 'Cause she grew from the drama Only wanna do it once real bad Gon' make that shit last God forbid something happens Least this song is a smash Song is a smash I've got so much love Love Got so much patience Patience I've learned from the pain Pain I turned out amazing Turned out amazing I've loved and I've lost Yeah yeah But that's not what I see Yeah yeah Just look what I've found Yeah yeah Ain't no need for searching And for that I'll say Thank you next Thank you next Thank you next Thank you next Thank you next I'm so fuckin' grateful for my ex Thank you next Thank you next Thank you next Said thank you next Thank you next Next I'm so fuckin' grateful for my ex Thank you next Thank you next Thank you next Yeah yee Thank you next Thank you next Thank you next Yeah yee
89,"Into the Unknown (From ""Frozen 2""/Soundtrack Version)","Idina Menzel, AURORA","THE VOICE Ah-ah-ah-ah Ah-ah-ah-ah Ah-ah-ah-ahh--ah-ah  ELSA I can hear you But I won’t. Some look for trouble While others don’t. There’s a thousand reasons I should go about my day And ignore your whispers Which I wish would go away… Oh-oh  THE VOICE Ah-ah-ah-ah  ELSA Oh-oh  THE VOICE Ah-ah-ah-ahh--ah-ah  ELSA You’re not a voice. You’re just a ringing in my ear And if I heard you (which I don’t) I’m spoken for, I fear. Everyone I’ve ever loved is here within these walls I’m sorry, secret siren, but I’m blocking out your calls.  I’ve had my adventure I don’t need something new! I’m afraid of what I’m risking if I follow you  Into the unknown… Into the unknown… Into the unknown!  THE VOICE Ah-ah-ah-ah  ELSA"
90,Someone Like You,Adele,I heard That you're settled down That you Found a girl And you're Married now I heard That your dreams came true Guess she gave you things I didn't give to you Old friend Why are you so shy Ain't like you to hold back Or hide from the light I hate to turn up out of the blue uninvited But I couldn't stay away I couldn't fight it I'd hoped you'd see my face And that you'd be reminded That for me it isn't over Never mind I'll find someone like you I wish nothing but the best for you too Don't forget me I beg I remember you said Sometimes it lasts in love But sometimes it hurts instead Sometimes it lasts in love But sometimes it hurts instead You'd know how The time flies Only yesterday It was the time of our lives We were born and raised in a summer haze Bound by the surprise Of our glory days I hate to turn up out of the blue uninvited But I couldn't stay away I couldn't fight it I hoped you'd see my face and that you'd be reminded That for me it isn't over Never mind I'll find someone like you I wish nothing but the best for you too Don't forget me I beg I remember you said Sometimes it lasts in love But sometimes it hurts instead Nothing compares No worries or cares Regrets and mistakes And memories made Who would have known How bittersweet This would taste Never mind I'll find someone like you I wish nothing but the best for you Don't forget me I beg I remember you said Sometimes it lasts in love But sometimes it hurts instead Never mind I'll find someone like you I wish nothing but the best for you too Don't forget me I beg I remember you said Sometimes it lasts in love But sometimes it hurts instead Sometimes it lasts in love But sometimes it hurts instead
